# Job started on: Tue Oct 24 08:56:56 CEST 2023 .
# FONLL heavy quark hadroproduction cross section, calculated on Tue Oct 24 08:56:57 CEST 2023
# FONLL version and perturbative order: ## FONLL v1.3.2 fonll [ds/dpt^2dy (pb/GeV^2)]
# quark = charm
# final state = quark
# ebeam1 = 2750, ebeam2 = 2750
# PDF set = CTEQ6.6
# ptmin = 0
# ptmax = 20
# ymin  = 0
# ymax  = 0
# no uncertainities from PDFs
# cross section is E ds/dp^3 at y = ymin (pb/GeV^2)
# pt      central
   0.0000 nan
   0.1005 1.7832e+07
   0.2010 1.7660e+07
   0.3015 1.7396e+07
   0.4020 1.7254e+07
   0.5025 1.7230e+07
   0.6030 1.7282e+07
   0.7035 1.7371e+07
   0.8040 1.7479e+07
   0.9045 1.7621e+07
   1.0050 1.7690e+07
   1.1055 1.7648e+07
   1.2060 1.7464e+07
   1.3065 1.7128e+07
   1.4070 1.6639e+07
   1.5075 1.6025e+07
   1.6080 1.5302e+07
   1.7085 1.4497e+07
   1.8090 1.3646e+07
   1.9095 1.2765e+07
   2.0101 1.1878e+07
   2.1106 1.1006e+07
   2.2111 1.0161e+07
   2.3116 9.3542e+06
   2.4121 8.5898e+06
   2.5126 7.8712e+06
   2.6131 7.2021e+06
   2.7136 6.5825e+06
   2.8141 6.0106e+06
   2.9146 5.4856e+06
   3.0151 5.0045e+06
   3.1156 4.5650e+06
   3.2161 4.1647e+06
   3.3166 3.8004e+06
   3.4171 3.4690e+06
   3.5176 3.1676e+06
   3.6181 2.8936e+06
   3.7186 2.6444e+06
   3.8191 2.4179e+06
   3.9196 2.2120e+06
   4.0201 2.0248e+06
   4.1206 1.8545e+06
   4.2211 1.6994e+06
   4.3216 1.5583e+06
   4.4221 1.4297e+06
   4.5226 1.3126e+06
   4.6231 1.2059e+06
   4.7236 1.1087e+06
   4.8241 1.0201e+06
   4.9246 9.3933e+05
   5.0251 8.6559e+05
   5.1256 7.9827e+05
   5.2261 7.3675e+05
   5.3266 6.8051e+05
   5.4271 6.2906e+05
   5.5276 5.8200e+05
   5.6281 5.3892e+05
   5.7286 4.9945e+05
   5.8291 4.6326e+05
   5.9296 4.3002e+05
   6.0302 3.9949e+05
   6.1307 3.7141e+05
   6.2312 3.4555e+05
   6.3317 3.2174e+05
   6.4322 2.9977e+05
   6.5327 2.7950e+05
   6.6332 2.6077e+05
   6.7337 2.4346e+05
   6.8342 2.2744e+05
   6.9347 2.1261e+05
   7.0352 1.9887e+05
   7.1357 1.8613e+05
   7.2362 1.7431e+05
   7.3367 1.6334e+05
   7.4372 1.5315e+05
   7.5377 1.4368e+05
   7.6382 1.3487e+05
   7.7387 1.2668e+05
   7.8392 1.1905e+05
   7.9397 1.1194e+05
   8.0402 1.0531e+05
   8.1407 9.9132e+04
   8.2412 9.3364e+04
   8.3417 8.7975e+04
   8.4422 8.2940e+04
   8.5427 7.8231e+04
   8.6432 7.3826e+04
   8.7437 6.9702e+04
   8.8442 6.5840e+04
   8.9447 6.2221e+04
   9.0452 5.8828e+04
   9.1457 5.5644e+04
   9.2462 5.2657e+04
   9.3467 4.9852e+04
   9.4472 4.7216e+04
   9.5477 4.4739e+04
   9.6482 4.2410e+04
   9.7487 4.0219e+04
   9.8492 3.8157e+04
   9.9497 3.6215e+04
  10.0503 3.4386e+04
  10.1508 3.2662e+04
  10.2513 3.1037e+04
  10.3518 2.9504e+04
  10.4523 2.8057e+04
  10.5528 2.6691e+04
  10.6533 2.5401e+04
  10.7538 2.4182e+04
  10.8543 2.3029e+04
  10.9548 2.1939e+04
  11.0553 2.0908e+04
  11.1558 1.9932e+04
  11.2563 1.9008e+04
  11.3568 1.8133e+04
  11.4573 1.7304e+04
  11.5578 1.6518e+04
  11.6583 1.5773e+04
  11.7588 1.5066e+04
  11.8593 1.4396e+04
  11.9598 1.3759e+04
  12.0603 1.3154e+04
  12.1608 1.2580e+04
  12.2613 1.2035e+04
  12.3618 1.1517e+04
  12.4623 1.1024e+04
  12.5628 1.0556e+04
  12.6633 1.0110e+04
  12.7638 9.6853e+03
  12.8643 9.2814e+03
  12.9648 8.8967e+03
  13.0653 8.5302e+03
  13.1658 8.1810e+03
  13.2663 7.8481e+03
  13.3668 7.5308e+03
  13.4673 7.2280e+03
  13.5678 6.9392e+03
  13.6683 6.6636e+03
  13.7688 6.4005e+03
  13.8693 6.1492e+03
  13.9698 5.9093e+03
  14.0704 5.6800e+03
  14.1709 5.4609e+03
  14.2714 5.2514e+03
  14.3719 5.0511e+03
  14.4724 4.8596e+03
  14.5729 4.6763e+03
  14.6734 4.5010e+03
  14.7739 4.3333e+03
  14.8744 4.1727e+03
  14.9749 4.0189e+03
  15.0754 3.8716e+03
  15.1759 3.7306e+03
  15.2764 3.5954e+03
  15.3769 3.4658e+03
  15.4774 3.3416e+03
  15.5779 3.2225e+03
  15.6784 3.1082e+03
  15.7789 2.9986e+03
  15.8794 2.8935e+03
  15.9799 2.7925e+03
  16.0804 2.6956e+03
  16.1809 2.6026e+03
  16.2814 2.5132e+03
  16.3819 2.4273e+03
  16.4824 2.3448e+03
  16.5829 2.2656e+03
  16.6834 2.1893e+03
