# Job started on: Thu Aug 10 10:51:00 CEST 2023 ...
# FONLL heavy quark hadroproduction cross section, calculated on Thu Aug 10 10:51:30 CEST 2023
# FONLL version and perturbative order: ## FONLL v1.3.4 fonll [ds/dpt^2dy (pb/GeV^2)]
# quark = charm
# final state = quark
# ebeam1 = 6500, ebeam2 = 6500
# PDF set = NNPDF30_nlo_as_0118
# ptmin = 0
# ptmax = 20
# ymin  = -1
# ymax  = 1
# Uncertainties from PDFs combined quadratically
# cross section is ds/dpt (pb/GeV)
# pt      central      min       max       min_sc     max_sc     min_mass   max_mass     min_pdf    max_pdf
   0.0000 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
   0.2020 4.1168e+07 1.7825e+07 6.4466e+07 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 1.7825e+07 6.4466e+07
   0.4040 8.0817e+07 3.9425e+07 1.2225e+08 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 3.9425e+07 1.2225e+08
   0.6061 1.2340e+08 7.0086e+07 1.7684e+08 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 7.0086e+07 1.7684e+08
   0.8081 1.7053e+08 1.1029e+08 2.3079e+08 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 1.1029e+08 2.3079e+08
   1.0101 2.2380e+08 1.6114e+08 2.8664e+08 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 1.6114e+08 2.8664e+08
   1.2121 2.7629e+08 2.1469e+08 3.3798e+08 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 2.1469e+08 3.3798e+08
   1.4141 3.2040e+08 2.6272e+08 3.7811e+08 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 2.6272e+08 3.7811e+08
   1.6162 3.5072e+08 2.9886e+08 4.0260e+08 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 2.9886e+08 4.0260e+08
   1.8182 3.6571e+08 3.2052e+08 4.1091e+08 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 3.2052e+08 4.1091e+08
   2.0202 3.6679e+08 3.2829e+08 4.0529e+08 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 3.2829e+08 4.0529e+08
