# Job started on: Thu Aug 10 10:13:33 CEST 2023 ...
# FONLL heavy quark hadroproduction cross section, calculated on Thu Aug 10 10:13:53 CEST 2023
# FONLL version and perturbative order: ## FONLL v1.3.2 fonll [ds/dpt^2dy (pb/GeV^2)]
# quark = charm
# final state = quark
# ebeam1 = 1375, ebeam2 = 1375
# PDF set = CTEQ6.6
# ptmin = 0
# ptmax = 20
# ymin  = -1
# ymax  = 1
# Uncertainties from PDFs combined quadratically
# cross section is ds/dpt (pb/GeV)
# pt      central      min       max       min_sc     max_sc     min_mass   max_mass     min_pdf    max_pdf
   0.0000 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
   0.2020 4.1089e+07 2.2208e+07 5.9974e+07 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 2.2208e+07 5.9974e+07
   0.4040 7.8911e+07 4.4731e+07 1.1309e+08 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 4.4731e+07 1.1309e+08
   0.6061 1.1518e+08 6.9952e+07 1.6042e+08 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 6.9952e+07 1.6042e+08
   0.8081 1.5019e+08 9.7912e+07 2.0247e+08 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 9.7912e+07 2.0247e+08
   1.0101 1.8273e+08 1.2734e+08 2.3812e+08 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 1.2734e+08 2.3812e+08
   1.2121 2.0804e+08 1.5318e+08 2.6289e+08 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 1.5318e+08 2.6289e+08
   1.4141 2.2263e+08 1.7116e+08 2.7416e+08 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 1.7116e+08 2.7416e+08
   1.6162 2.2589e+08 1.7964e+08 2.7209e+08 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 1.7964e+08 2.7209e+08
   1.8182 2.1923e+08 1.7899e+08 2.5950e+08 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 1.7899e+08 2.5950e+08
   2.0202 2.0584e+08 1.7158e+08 2.4009e+08 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 1.7158e+08 2.4009e+08
   2.2222 1.8848e+08 1.5975e+08 2.1721e+08 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 1.5975e+08 2.1721e+08
   2.4242 1.6945e+08 1.4557e+08 1.9333e+08 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 1.4557e+08 1.9333e+08
   2.6263 1.5039e+08 1.3064e+08 1.7015e+08 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 1.3064e+08 1.7015e+08
   2.8283 1.3230e+08 1.1598e+08 1.4861e+08 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 1.1598e+08 1.4861e+08
   3.0303 1.1569e+08 1.0221e+08 1.2917e+08 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 1.0221e+08 1.2917e+08
   3.2323 1.0080e+08 8.9638e+07 1.1196e+08 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 8.9638e+07 1.1196e+08
   3.4343 8.7659e+07 7.8389e+07 9.6928e+07 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 7.8389e+07 9.6928e+07
   3.6364 7.6155e+07 6.8425e+07 8.3885e+07 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 6.8425e+07 8.3885e+07
   3.8384 6.6138e+07 5.9667e+07 7.2610e+07 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 5.9667e+07 7.2610e+07
   4.0404 5.7448e+07 5.2012e+07 6.2884e+07 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 5.2012e+07 6.2884e+07
   4.2424 4.9926e+07 4.5343e+07 5.4509e+07 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 4.5343e+07 5.4509e+07
   4.4444 4.3425e+07 3.9545e+07 4.7306e+07 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 3.9545e+07 4.7306e+07
   4.6465 3.7816e+07 3.4517e+07 4.1116e+07 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 3.4517e+07 4.1116e+07
   4.8485 3.2984e+07 3.0169e+07 3.5798e+07 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 3.0169e+07 3.5798e+07
   5.0505 2.8820e+07 2.6409e+07 3.1230e+07 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 2.6409e+07 3.1230e+07
   5.2525 2.5232e+07 2.3159e+07 2.7304e+07 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 2.3159e+07 2.7304e+07
   5.4545 2.2138e+07 2.0348e+07 2.3928e+07 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 2.0348e+07 2.3928e+07
   5.6566 1.9470e+07 1.7919e+07 2.1022e+07 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 1.7919e+07 2.1022e+07
   5.8586 1.7164e+07 1.5814e+07 1.8514e+07 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 1.5814e+07 1.8514e+07
   6.0606 1.5166e+07 1.3987e+07 1.6345e+07 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 1.3987e+07 1.6345e+07
   6.2626 1.3429e+07 1.2396e+07 1.4462e+07 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 1.2396e+07 1.4462e+07
   6.4646 1.1916e+07 1.1009e+07 1.2824e+07 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 1.1009e+07 1.2824e+07
   6.6667 1.0596e+07 9.7952e+06 1.1396e+07 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 9.7952e+06 1.1396e+07
   6.8687 9.4400e+06 8.7321e+06 1.0148e+07 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 8.7321e+06 1.0148e+07
   7.0707 8.4265e+06 7.7988e+06 9.0541e+06 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 7.7988e+06 9.0541e+06
   7.2727 7.5358e+06 6.9778e+06 8.0938e+06 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 6.9778e+06 8.0938e+06
   7.4747 6.7515e+06 6.2542e+06 7.2488e+06 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 6.2542e+06 7.2488e+06
   7.6768 6.0595e+06 5.6152e+06 6.5038e+06 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 5.6152e+06 6.5038e+06
   7.8788 5.4478e+06 5.0499e+06 5.8457e+06 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 5.0499e+06 5.8457e+06
   8.0808 4.9061e+06 4.5490e+06 5.2633e+06 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 4.5490e+06 5.2633e+06
   8.2828 4.4259e+06 4.1046e+06 4.7471e+06 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 4.1046e+06 4.7471e+06
   8.4848 3.9992e+06 3.7097e+06 4.2888e+06 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 3.7097e+06 4.2888e+06
   8.6869 3.6194e+06 3.3580e+06 3.8809e+06 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 3.3580e+06 3.8809e+06
   8.8889 3.2807e+06 3.0442e+06 3.5172e+06 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 3.0442e+06 3.5172e+06
   9.0909 2.9780e+06 2.7637e+06 3.1924e+06 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 2.7637e+06 3.1924e+06
   9.2929 2.7071e+06 2.5124e+06 2.9017e+06 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 2.5124e+06 2.9017e+06
   9.4949 2.4641e+06 2.2871e+06 2.6411e+06 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 2.2871e+06 2.6411e+06
   9.6970 2.2458e+06 2.0846e+06 2.4071e+06 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 2.0846e+06 2.4071e+06
   9.8990 2.0496e+06 1.9024e+06 2.1967e+06 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 1.9024e+06 2.1967e+06
