# Job started on: Wed Aug 30 11:52:43 CEST 2023 ...
# FONLL heavy quark hadroproduction cross section, calculated on Wed Aug 30 11:53:04 CEST 2023
# FONLL version and perturbative order: ## FONLL v1.3.2 fonll [ds/dpt^2dy (pb/GeV^2)]
# quark = charm
# final state = quark
# ebeam1 = 2515, ebeam2 = 2515
# PDF set = CTEQ6.6
# ptmin = 0
# ptmax = 20
# ymin  = -1
# ymax  = 1
# Uncertainties from PDFs combined quadratically
# cross section is ds/dpt (pb/GeV)
# pt      central      min       max       min_sc     max_sc     min_mass   max_mass     min_pdf    max_pdf
   0.0000 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
   0.2020 4.4533e+07 2.2112e+07 6.6955e+07 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 2.2112e+07 6.6955e+07
   0.4040 8.6745e+07 4.5694e+07 1.2780e+08 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 4.5694e+07 1.2780e+08
   0.6061 1.2971e+08 7.4268e+07 1.8516e+08 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 7.4268e+07 1.8516e+08
   0.8081 1.7400e+08 1.0812e+08 2.3987e+08 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 1.0812e+08 2.3987e+08
   1.0101 2.1870e+08 1.4653e+08 2.9086e+08 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 1.4653e+08 2.9086e+08
   1.2121 2.5721e+08 1.8318e+08 3.3124e+08 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 1.8318e+08 3.3124e+08
   1.4141 2.8390e+08 2.1205e+08 3.5574e+08 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 2.1205e+08 3.5574e+08
   1.6162 2.9633e+08 2.2960e+08 3.6309e+08 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 2.2960e+08 3.6309e+08
   1.8182 2.9533e+08 2.3556e+08 3.5508e+08 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 2.3556e+08 3.5508e+08
   2.0202 2.8395e+08 2.3167e+08 3.3624e+08 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 2.3167e+08 3.3624e+08
   2.2222 2.6576e+08 2.2083e+08 3.1070e+08 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 2.2083e+08 3.1070e+08
   2.4242 2.4382e+08 2.0566e+08 2.8197e+08 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 2.0566e+08 2.8197e+08
   2.6263 2.2044e+08 1.8823e+08 2.5264e+08 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 1.8823e+08 2.5264e+08
   2.8283 1.9729e+08 1.7022e+08 2.2437e+08 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 1.7022e+08 2.2437e+08
   3.0303 1.7531e+08 1.5258e+08 1.9805e+08 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 1.5258e+08 1.9805e+08
   3.2323 1.5506e+08 1.3596e+08 1.7417e+08 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 1.3596e+08 1.7417e+08
   3.4343 1.3677e+08 1.2069e+08 1.5286e+08 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 1.2069e+08 1.5286e+08
   3.6364 1.2042e+08 1.0684e+08 1.3400e+08 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 1.0684e+08 1.3400e+08
   3.8384 1.0590e+08 9.4404e+07 1.1739e+08 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 9.4404e+07 1.1739e+08
   4.0404 9.3084e+07 8.3329e+07 1.0284e+08 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 8.3329e+07 1.0284e+08
   4.2424 8.1813e+07 7.3510e+07 9.0117e+07 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 7.3510e+07 9.0117e+07
   4.4444 7.1922e+07 6.4828e+07 7.9017e+07 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 6.4828e+07 7.9017e+07
   4.6465 6.3271e+07 5.7190e+07 6.9352e+07 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 5.7190e+07 6.9352e+07
   4.8485 5.5727e+07 5.0498e+07 6.0955e+07 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 5.0498e+07 6.0955e+07
   5.0505 4.9152e+07 4.4642e+07 5.3661e+07 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 4.4642e+07 5.3661e+07
   5.2525 4.3422e+07 3.9517e+07 4.7326e+07 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 3.9517e+07 4.7326e+07
   5.4545 3.8428e+07 3.5034e+07 4.1822e+07 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 3.5034e+07 4.1822e+07
   5.6566 3.4080e+07 3.1119e+07 3.7040e+07 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 3.1119e+07 3.7040e+07
   5.8586 3.0288e+07 2.7696e+07 3.2880e+07 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 2.7696e+07 3.2880e+07
   6.0606 2.6973e+07 2.4697e+07 2.9250e+07 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 2.4697e+07 2.9250e+07
   6.2626 2.4069e+07 2.2063e+07 2.6075e+07 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 2.2063e+07 2.6075e+07
   6.4646 2.1518e+07 1.9746e+07 2.3291e+07 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 1.9746e+07 2.3291e+07
   6.6667 1.9273e+07 1.7702e+07 2.0845e+07 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 1.7702e+07 2.0845e+07
   6.8687 1.7292e+07 1.5896e+07 1.8689e+07 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 1.5896e+07 1.8689e+07
   7.0707 1.5542e+07 1.4297e+07 1.6786e+07 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 1.4297e+07 1.6786e+07
   7.2727 1.3991e+07 1.2879e+07 1.5104e+07 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 1.2879e+07 1.5104e+07
   7.4747 1.2617e+07 1.1621e+07 1.3613e+07 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 1.1621e+07 1.3613e+07
   7.6768 1.1396e+07 1.0502e+07 1.2290e+07 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 1.0502e+07 1.2290e+07
   7.8788 1.0310e+07 9.5050e+06 1.1114e+07 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 9.5050e+06 1.1114e+07
   8.0808 9.3419e+06 8.6164e+06 1.0068e+07 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 8.6164e+06 1.0068e+07
   8.2828 8.4782e+06 7.8226e+06 9.1339e+06 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 7.8226e+06 9.1339e+06
   8.4848 7.7058e+06 7.1121e+06 8.2994e+06 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 7.1121e+06 8.2994e+06
   8.6869 7.0139e+06 6.4754e+06 7.5524e+06 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 6.4754e+06 7.5524e+06
   8.8889 6.3931e+06 5.9037e+06 6.8825e+06 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 5.9037e+06 6.8825e+06
   9.0909 5.8352e+06 5.3896e+06 6.2808e+06 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 5.3896e+06 6.2808e+06
   9.2929 5.3331e+06 4.9268e+06 5.7395e+06 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 4.9268e+06 5.7395e+06
   9.4949 4.8806e+06 4.5094e+06 5.2518e+06 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 4.5094e+06 5.2518e+06
   9.6970 4.4722e+06 4.1325e+06 4.8118e+06 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 4.1325e+06 4.8118e+06
