# Job started on: Wed Aug 30 11:53:35 CEST 2023 ....
# FONLL heavy quark hadroproduction cross section, calculated on Wed Aug 30 11:54:06 CEST 2023
# FONLL version and perturbative order: ## FONLL v1.4.0 fonll [ds/dpt^2dy (pb/GeV^2)]
# quark = charm
# final state = quark
# ebeam1 = 2515, ebeam2 = 2515
# PDF set = NNPDF30_nlo_as_0118
# ptmin = 0
# ptmax = 20
# ymin  = -1
# ymax  = 1
# Uncertainties from PDFs combined quadratically
# cross section is ds/dpt (pb/GeV)
# pt      central      min       max       min_sc     max_sc     min_mass   max_mass     min_pdf    max_pdf
   0.0000 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
   0.2020 3.5625e+07 2.3686e+07 4.7563e+07 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 2.3686e+07 4.7563e+07
   0.4040 6.9054e+07 4.7880e+07 9.0227e+07 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 4.7880e+07 9.0227e+07
   0.6061 1.0291e+08 7.5791e+07 1.3003e+08 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 7.5791e+07 1.3003e+08
   0.8081 1.3805e+08 1.0790e+08 1.6820e+08 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 1.0790e+08 1.6820e+08
   1.0101 1.7445e+08 1.4387e+08 2.0503e+08 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 1.4387e+08 2.0503e+08
   1.2121 2.0695e+08 1.7799e+08 2.3590e+08 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 1.7799e+08 2.3590e+08
   1.4141 2.3073e+08 2.0476e+08 2.5670e+08 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 2.0476e+08 2.5670e+08
   1.6162 2.4334e+08 2.2097e+08 2.6573e+08 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 2.2097e+08 2.6573e+08
   1.8182 2.4518e+08 2.2644e+08 2.6392e+08 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 2.2644e+08 2.6392e+08
   2.0202 2.3813e+08 2.2271e+08 2.5354e+08 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 2.2271e+08 2.5354e+08
   2.2222 2.2502e+08 2.1245e+08 2.3759e+08 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 2.1245e+08 2.3759e+08
   2.4242 2.0834e+08 1.9813e+08 2.1856e+08 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 1.9813e+08 2.1856e+08
   2.6263 1.8998e+08 1.8168e+08 1.9828e+08 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 1.8168e+08 1.9828e+08
   2.8283 1.7137e+08 1.6459e+08 1.7815e+08 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 1.6459e+08 1.7815e+08
   3.0303 1.5342e+08 1.4785e+08 1.5898e+08 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 1.4785e+08 1.5898e+08
   3.2323 1.3662e+08 1.3203e+08 1.4122e+08 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 1.3203e+08 1.4122e+08
   3.4343 1.2125e+08 1.1742e+08 1.2507e+08 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 1.1742e+08 1.2507e+08
   3.6364 1.0732e+08 1.0412e+08 1.1052e+08 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 1.0412e+08 1.1052e+08
   3.8384 9.4803e+07 9.2101e+07 9.7506e+07 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 9.2101e+07 9.7506e+07
   4.0404 8.3633e+07 8.1342e+07 8.5923e+07 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 8.1342e+07 8.5923e+07
   4.2424 7.3730e+07 7.1779e+07 7.5682e+07 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 7.1779e+07 7.5682e+07
