# Job started on: Wed Aug 30 11:54:55 CEST 2023 .
# FONLL heavy quark hadroproduction cross section, calculated on Wed Aug 30 11:55:01 CEST 2023
# FONLL version and perturbative order: ## FONLL v1.3.2 fonll [ds/dpt^2dy (pb/GeV^2)]
# quark = charm
# final state = quark
# ebeam1 = 2750, ebeam2 = 2750
# PDF set = CTEQ6.6
# ptmin = 0
# ptmax = 20
# ymin  = -1
# ymax  = 1
# no uncertainties from PDFs
# cross section is ds/dpt (pb/GeV)
# pt      central
   0.0000 0.0000e+00
   0.2020 4.5075e+07
   0.4040 8.7988e+07
   0.6061 1.3202e+08
   0.8081 1.7777e+08
   1.0101 2.2445e+08
   1.2121 2.6522e+08
   1.4141 2.9396e+08
   1.6162 3.0802e+08
   1.8182 3.0815e+08
   2.0202 2.9723e+08
   2.2222 2.7901e+08
   2.4242 2.5670e+08
   2.6263 2.3269e+08
   2.8283 2.0874e+08
   3.0303 1.8589e+08
   3.2323 1.6477e+08
   3.4343 1.4561e+08
   3.6364 1.2843e+08
   3.8384 1.1314e+08
   4.0404 9.9611e+07
   4.2424 8.7685e+07
   4.4444 7.7196e+07
   4.6465 6.8003e+07
   4.8485 5.9972e+07
   5.0505 5.2962e+07
   5.2525 4.6844e+07
   5.4545 4.1504e+07
   5.6566 3.6850e+07
   5.8586 3.2786e+07
   6.0606 2.9230e+07
   6.2626 2.6110e+07
   6.4646 2.3367e+07
   6.6667 2.0950e+07
   6.8687 1.8815e+07
   7.0707 1.6926e+07
   7.2727 1.5251e+07
   7.4747 1.3764e+07
   7.6768 1.2443e+07
   7.8788 1.1266e+07
   8.0808 1.0217e+07
   8.2828 9.2799e+06
   8.4848 8.4410e+06
   8.6869 7.6889e+06
   8.8889 7.0136e+06
   9.0909 6.4062e+06
   9.2929 5.8592e+06
   9.4949 5.3659e+06
   9.6970 4.9203e+06
   9.8990 4.5173e+06
  10.1010 4.1524e+06
  10.3030 3.8215e+06
  10.5051 3.5210e+06
  10.7071 3.2478e+06
  10.9091 2.9991e+06
  11.1111 2.7723e+06
  11.3131 2.5653e+06
  11.5152 2.3762e+06
  11.7172 2.2031e+06
  11.9192 2.0446e+06
  12.1212 1.8994e+06
  12.3232 1.7661e+06
  12.5253 1.6437e+06
  12.7273 1.5312e+06
  12.9293 1.4276e+06
  13.1313 1.3321e+06
  13.3333 1.2440e+06
  13.5354 1.1627e+06
  13.7374 1.0876e+06
  13.9394 1.0180e+06
  14.1414 9.5368e+05
  14.3434 8.9404e+05
  14.5455 8.3872e+05
  14.7475 7.8739e+05
  14.9495 7.3973e+05
  15.1515 6.9543e+05
  15.3535 6.5423e+05
  15.5556 6.1587e+05
  15.7576 5.8014e+05
  15.9596 5.4682e+05
  16.1616 5.1574e+05
  16.3636 4.8671e+05
  16.5657 4.5959e+05
  16.7677 4.3423e+05
  16.9697 4.1050e+05
  17.1717 3.8828e+05
  17.3737 3.6747e+05
  17.5758 3.4795e+05
  17.7778 3.2965e+05
  17.9798 3.1246e+05
  18.1818 2.9632e+05
  18.3838 2.8116e+05
  18.5859 2.6690e+05
  18.7879 2.5348e+05
  18.9899 2.4085e+05
  19.1919 2.2895e+05
  19.3939 2.1774e+05
  19.5960 2.0717e+05
  19.7980 1.9720e+05
  20.0000 1.8779e+05
