# Job started on: Wed Aug 30 11:54:55 CEST 2023 .
# FONLL heavy quark hadroproduction cross section, calculated on Wed Aug 30 11:55:01 CEST 2023
# FONLL version and perturbative order: ## FONLL v1.3.2 fonll [ds/dpt^2dy (pb/GeV^2)]
# quark = charm
# final state = quark
# ebeam1 = 2750, ebeam2 = 2750
# PDF set = CTEQ6.6
# ptmin = 0
# ptmax = 20
# ymin  = -1
# ymax  = 1
# no uncertainties from PDFs
# cross section is ds/dpt (pb/GeV)
# pt      central
   0.0000 0.0000e+00
   0.0501 1.1062e+07
   0.1003 2.2597e+07
   0.1504 3.3822e+07
   0.2005 4.4748e+07
   0.2506 5.5468e+07
   0.3008 6.6090e+07
   0.3509 7.6690e+07
   0.4010 8.7340e+07
   0.4511 9.8083e+07
   0.5013 1.0894e+08
   0.5514 1.1991e+08
   0.6015 1.3100e+08
   0.6516 1.4221e+08
   0.7018 1.5350e+08
   0.7519 1.6483e+08
   0.8020 1.7636e+08
   0.8521 1.8809e+08
   0.9023 1.9984e+08
   0.9524 2.1144e+08
   1.0025 2.2276e+08
   1.0526 2.3375e+08
   1.1028 2.4430e+08
   1.1529 2.5428e+08
   1.2030 2.6360e+08
   1.2531 2.7220e+08
   1.3033 2.7997e+08
   1.3534 2.8684e+08
   1.4035 2.9281e+08
   1.4536 2.9788e+08
   1.5038 3.0207e+08
   1.5539 3.0531e+08
   1.6040 3.0760e+08
   1.6541 3.0900e+08
   1.7043 3.0960e+08
   1.7544 3.0944e+08
   1.8045 3.0853e+08
   1.8546 3.0690e+08
   1.9048 3.0461e+08
   1.9549 3.0174e+08
   2.0050 2.9835e+08
   2.0551 2.9450e+08
   2.1053 2.9024e+08
   2.1554 2.8562e+08
   2.2055 2.8071e+08
   2.2556 2.7553e+08
   2.3058 2.7013e+08
   2.3559 2.6455e+08
   2.4060 2.5882e+08
   2.4561 2.5297e+08
   2.5063 2.4703e+08
   2.5564 2.4105e+08
   2.6065 2.3505e+08
   2.6566 2.2905e+08
   2.7068 2.2307e+08
   2.7569 2.1712e+08
   2.8070 2.1122e+08
   2.8571 2.0539e+08
   2.9073 1.9964e+08
   2.9574 1.9397e+08
   3.0075 1.8840e+08
   3.0576 1.8292e+08
   3.1078 1.7757e+08
   3.1579 1.7233e+08
   3.2080 1.6721e+08
   3.2581 1.6221e+08
   3.3083 1.5733e+08
   3.3584 1.5258e+08
   3.4085 1.4795e+08
   3.4586 1.4344e+08
   3.5088 1.3906e+08
   3.5589 1.3479e+08
   3.6090 1.3064e+08
   3.6591 1.2662e+08
   3.7093 1.2270e+08
   3.7594 1.1890e+08
   3.8095 1.1521e+08
   3.8596 1.1164e+08
   3.9098 1.0816e+08
   3.9599 1.0480e+08
   4.0100 1.0154e+08
   4.0602 9.8377e+07
   4.1103 9.5313e+07
   4.1604 9.2344e+07
   4.2105 8.9468e+07
   4.2607 8.6682e+07
   4.3108 8.3984e+07
   4.3609 8.1370e+07
   4.4110 7.8839e+07
   4.4612 7.6388e+07
   4.5113 7.4017e+07
   4.5614 7.1723e+07
   4.6115 6.9505e+07
   4.6617 6.7361e+07
   4.7118 6.5286e+07
   4.7619 6.3281e+07
